Species Common Name,Issue date,Date caught,Location caught,Island,Cardinal Direction,Island Sector
n/a,May 1995,n/a,n/a,n/a,n/a,n/a
Neon flying squid,April 1995,01/01/1995,Marine corps base hawaii,Oahu,Southeast,SE
n/a,March 1995,n/a,n/a,n/a,n/a,n/a
n/a,February 1995,n/a,n/a,n/a,n/a,n/a
MISSING,January 1995,MISSING,MISSING,MISSING,MISSING,MISSING
Bluestriped chub,December 1994,12/16/1994,North shore maui,Maui,North,N
n/a,November 1994,n/a,n/a,n/a,n/a,n/a
Black marlin,October 1994,08/27/1994,Honokohau,Big island,West,W
Black marlin,September 1994,07/19/1994,Kona,Big island,West,W
Black Marlin,September 1994,07/19/1994,Kona,Big island,West,W
Black Marlin,August 1994,06/21/1994,n/a,n/a,n/a,n/a
Spotted Knifejaw,July 1994,07/15/1994,Kalaea point at kalaupapa peninsula,Molokai,North,N
n/a,June 1994,n/a,n/a,n/a,n/a,n/a
n/a,May 1994,n/a,n/a,n/a,n/a,n/a
n/a,April 1994,n/a,n/a,n/a,n/a,n/a
n/a,March 1994,n/a,n/a,n/a,n/a,n/a
n/a,February 1994,n/a,n/a,n/a,n/a,n/a
n/a,January 1994,n/a,n/a,n/a,n/a,n/a
n/a,December 1993,n/a,n/a,n/a,n/a,n/a
n/a,November 1993,n/a,n/a,n/a,n/a,n/a
n/a,October 1993,n/a,n/a,n/a,n/a,n/a
n/a,September 1993,n/a,n/a,n/a,n/a,n/a
Black Marlin,August 1993,08/16/1993,Northwest of Keahole,Big island,Northwest,NW
Black Marlin,August 1993,06/13/1993,Big island,Big island,West,W
Red squid,July 1993,07/15/1993,Maui,Maui,West,W
Black Marlin,June 1993,06/16/1993,Lahaina,Maui,Northwest,NW
MISSING,May 1993,MISSING,MISSING,MISSING,MISSING,MISSING
n/a,April 1993,n/a,n/a,n/a,n/a,n/a
n/a,March 1993,n/a,n/a,n/a,n/a,n/a
n/a,February 1993,n/a,n/a,n/a,n/a,n/a
n/a,January 1993,n/a,n/a,n/a,n/a,n/a
MISSING,December 1992,MISSING,MISSING,MISSING,MISSING,MISSING
n/a,November 1992,n/a,n/a,n/a,n/a,n/a
Yellow spot papio,October 1992,10/16/1992,East Oahu,Oahu,East,E
Kagami ulua,October 1992,10/16/1992,"North shore, oahu",Oahu,Northwest,NW
Kagami ulua,September 1992,07/03/1992,Oahu,Oahu,n/a,WI
Spotted Knifejaw,August 1992,08/16/1992,Kalaupapa,Molokai,North,N
MISSING,July 1992,MISSING,MISSING,MISSING,MISSING,MISSING
Broadbill swordfish,June 1992,n/a,n/a,n/a,n/a,n/a
Kagami ulua,May 1992,05/19/1992,South end of Maui,Maui,South,S
Black Marlin,May 1992,05/19/1992,Kona,Big island,West,W
MISSING,April 1992,MISSING,MISSING,MISSING,MISSING,MISSING
Butagachi,March 1992,03/16/1992,Naska maui,Maui,North,N
Butagachi,March 1992,03/16/1992,west coast Hawaii,,West,W
Oilfish,February 1992,02/14/1992,Waianae coast power plant,Oahu,West,W
Black Marlin,February 1992,02/14/1992,Kona,Big island,West,W
Hammerhead Shark,February 1992,01/01/1991,Kaneohe bay kapapa island,Oahu,East,E
Thresher Shark,January 1992,n/a,n/a,n/a,n/a,n/a
Needlefish,January 1992,01/15/1992,"McKenzie point, big island",Big island,Southeast,SE
n/a,December 1991,n/a,n/a,n/a,n/a,n/a
Kagami ulua,November 1991,08/02/1991,n/a,n/a,n/a,n/a
n/a,October 1991,n/a,n/a,n/a,n/a,n/a
Mako shark,September 1991,09/15/1991,Kona coast,Big island,West,W
n/a,August 1991,n/a,n/a,n/a,n/a,n/a
n/a,July 1991,n/a,n/a,n/a,n/a,n/a
Kagami ulua,June 1991,n/a,n/a,n/a,n/a,n/a
Oilfish,May 1991,11/30/1990,Waianae boat harbor,Oahu,West,W
Kagami ulua,April 1991,01/26/1991,n/a,n/a,n/a,n/a
n/a,March 1991,n/a,n/a,n/a,n/a,n/a
Black Marlin,February 1991,02/14/1991,top corner ledge northwest of keahole airport,Big island,West,W
n/a,January 1991,n/a,n/a,n/a,n/a,n/a
n/a,December 1990,n/a,n/a,n/a,n/a,n/a
Kagami ulua,November 1990,06/23/1990,Molokai,Molokai,n/a,WI
Sailfish,October 1990,10/16/1990,"Hilo, Hawaii",Big island,East,E
Sailfish,October 1990,10/16/1990,Big island,Big island,n/a,WI
n/a,September 1990,n/a,n/a,n/a,n/a,n/a
Kagami ulua,August 1990,01/01/1979,La'ie point,Oahu,East,E
Thresher Shark,August 1990,08/16/1990,"Kona, Hawaii",Big island,West,W
Moana Ukali,July 1990,07/15/1990,South kona,Big island,South,S
Kagami ulua,July 1990,08/19/1989,Lanai,Lanai,n/a,WI
Spotted duckbilled eagle ray,July 1990,07/15/1990,"Makaha, Oahu",Oahu,West,W
Moana Ukali,June 1990,06/16/1990,"Hilo, Hawaii",Big island,East,E
Kagami ulua,June 1990,06/16/1990,"Sand Island, Oahu",Oahu,South,S
Kagami ulua,June 1990,03/04/1990,"Waianae, Oahu",Oahu,West,W
Kagami ulua,June 1990,04/01/1990,"Hilo, Hawaii",Big island,East,E
Kagami ulua,June 1990,04/13/1990,"Diamond head, Oahu",Oahu,South,S
Black Marlin,May 1990,n/a,n/a,n/a,n/a,
Kagami ulua,May 1990,05/19/1990,Kapapa island,Oahu,East,E
Giant sea bass,April 1990,n/a,"Wailevu River, Fiji",Fiji,n/a,n/a
Mako shark,April 1990,04/15/1990,offshore Honakohau Harbor,Big island,West,W
Giant sea bass,April 1990,n/a,n/a,n/a,n/a,
Lancetfish,March 1990,03/16/1990,Kailua-Kona,Big island,West,W
Kagami ulua,March 1990,03/16/2990,Northeast Maui,Maui,Northeast,NE
Paddletail snapper,March 1990,n/a,n/a,n/a,n/a,n/a
n/a,July 1977,n/a,n/a,n/a,n/a,n/a
n/a,June 1977,n/a,n/a,n/a,n/a,n/a
n/a,May 1977,n/a,n/a,n/a,n/a,n/a
Mystery fish,April 1977,01/14/1977,Ala moana beach park,Oahu,South,S
n/a,March 1977,n/a,n/a,n/a,n/a,n/a
n/a,February 1977,n/a,n/a,n/a,n/a,n/a
n/a,January 1977,n/a,n/a,n/a,n/a,n/a
